OSEBX,Last,High,Low,Officialturnover(NOK)
07.01.19,829.93,840.28,827.28,4105801746.00
04.01.19,829.67,829.67,809.84,4829802028.00
03.01.19,808.68,815.19,799.43,3978351400.00
02.01.19,803.42,803.90,786.54,3173412684.00
28.12.18,799.46,803.66,783.67,3212399284.00
27.12.18,783.61,810.37,783.58,3340009358.00
21.12.18,803.96,804.64,793.75,5904369796.00
20.12.18,804.24,823.98,801.46,4430752469.00
19.12.18,824.99,825.39,809.45,4439276334.00
18.12.18,816.65,820.01,803.00,4731105874.00
17.12.18,819.83,833.18,819.83,3487453716.00
14.12.18,830.76,838.23,828.65,3526953098.00
13.12.18,838.67,844.62,832.87,3559456641.00
12.12.18,844.60,845.17,834.85,3507932070.00
11.12.18,834.81,837.73,822.48,3844092731.00
10.12.18,823.61,844.12,821.73,3821564659.00
07.12.18,844.15,848.79,825.91,4151546147.00
06.12.18,825.96,857.94,825.96,5180568220.00
05.12.18,858.14,869.98,855.41,3091359680.00a
04.12.18,870.00,876.93,868.84,3647743749.00
03.12.18,874.42,881.32,861.44,4350460650.00
30.11.18,860.98,863.77,855.37,7072715887.00
29.11.18,861.78,863.82,851.59,3898468490.00
28.11.18,854.46,860.91,850.06,3799302823.00
27.11.18,856.77,859.69,849.44,3776238064.00
26.11.18,852.84,853.21,837.14,3527855062.00
23.11.18,837.14,849.03,832.87,3625699008.00
22.11.18,849.04,856.65,848.62,3106668376.00
21.11.18,854.87,855.15,841.23,4218446982.00
20.11.18,841.26,865.98,838.79,5456726805.00
19.11.18,865.36,877.65,865.30,4483264713.00
16.11.18,872.61,877.85,864.77,4654418430.00
15.11.18,864.74,874.91,863.65,4630848138.00
14.11.18,871.08,876.72,865.10,6090594902.00
13.11.18,875.43,887.95,875.17,5126725354.00
12.11.18,886.62,892.64,885.44,3591580558.00
09.11.18,886.44,892.58,884.16,4405450688.00
08.11.18,892.49,900.74,891.50,4463837653.00
07.11.18,895.61,901.70,890.19,4601093637.00
06.11.18,890.91,895.50,886.93,4055502312.00
05.11.18,893.59,897.69,885.52,3797738887.00
02.11.18,889.02,895.71,884.95,4696154132.00
01.11.18,884.96,889.63,881.17,4928412465.00
31.10.18,889.66,891.21,869.06,5768475681.00
30.10.18,868.85,879.37,863.97,4539788289.00
29.10.18,875.78,881.87,862.80,4324045258.00
26.10.18,862.80,875.77,856.86,5243429964.00
25.10.18,873.48,874.92,850.99,6327015664.00
