"year"	"cardiovascular_mortality"
1970	97.85
1970.01923076923	104.64
1970.03846153846	94.36
1970.05769230769	98.05
1970.07692307692	95.85
1970.09615384615	95.98
1970.11538461538	88.63
1970.13461538462	90.85
1970.15384615385	92.06
1970.17307692308	88.75
1970.19230769231	94.6
1970.21153846154	92.86
1970.23076923077	98.02
1970.25	87.64
1970.26923076923	97.4
1970.28846153846	83.24
1970.30769230769	86.6
1970.32692307692	90.69
1970.34615384615	82.86
1970.36538461538	99.06
1970.38461538462	81
1970.40384615385	93.18
1970.42307692308	86.86
1970.44230769231	89.35
1970.46153846154	87.13
1970.48076923077	88.39
1970.5	85.38
1970.51923076923	83.96
1970.53846153846	84.95
1970.55769230769	86.81
1970.57692307692	85.25
1970.59615384615	94.72
1970.61538461538	90.96
1970.63461538462	87.73
1970.65384615385	92.58
1970.67307692308	87.02
1970.69230769231	92.68
1970.71153846154	97.95
1970.73076923077	94.19
1970.75	93.95
1970.76923076923	92.29
1970.78846153846	93.48
1970.80769230769	97.41
1970.82692307692	96.98
1970.84615384615	106.6
1970.86538461538	112.41
1970.88461538462	118.59
1970.90384615385	107.9
1970.92307692308	111.82
1970.94230769231	102.78
1970.96153846154	100.63
1970.98076923077	106.54
1971	105.39
1971.01923076923	104.99
1971.03846153846	102.72
1971.05769230769	104.67
1971.07692307692	103.3
1971.09615384615	98.46
1971.11538461538	100.78
1971.13461538462	94.43
1971.15384615385	92.16
1971.17307692308	92.13
1971.19230769231	95.04
1971.21153846154	86.88
1971.23076923077	95.29
1971.25	85.39
1971.26923076923	92.63
1971.28846153846	88.72
1971.30769230769	87.09
1971.32692307692	83.92
1971.34615384615	89.01
1971.36538461538	78.14
1971.38461538462	92.84
1971.40384615385	88.65
1971.42307692308	86.66
1971.44230769231	82.04
1971.46153846154	105.15
1971.48076923077	94.19
1971.5	83.99
1971.51923076923	88.22
1971.53846153846	85.59
1971.55769230769	99.21
1971.57692307692	87.77
1971.59615384615	90.39
1971.61538461538	82.25
1971.63461538462	102.92
1971.65384615385	86.84
1971.67307692308	97.22
1971.69230769231	94.97
1971.71153846154	104.86
1971.73076923077	80.53
1971.75	102.47
1971.76923076923	97.8
1971.78846153846	95.28
1971.80769230769	105.64
1971.82692307692	106.44
1971.84615384615	110.65
1971.86538461538	114.41
1971.88461538462	115.98
1971.90384615385	112.72
1971.92307692308	115.99
1971.94230769231	104.14
1971.96153846154	109.3
1971.98076923077	111.47
1972	102.67
1972.01923076923	101.34
1972.03846153846	94.97
1972.05769230769	90.48
1972.07692307692	93.7
1972.09615384615	81.87
1972.11538461538	91.12
1972.13461538462	90.55
1972.15384615385	89.62
1972.17307692308	91.63
1972.19230769231	89.22
1972.21153846154	84.81
1972.23076923077	95
1972.25	83.77
1972.26923076923	98.26
1972.28846153846	82.87
1972.30769230769	85.51
1972.32692307692	84.67
1972.34615384615	84.45
1972.36538461538	93.96
1972.38461538462	82.47
1972.40384615385	89.18
1972.42307692308	87.33
1972.44230769231	92.67
1972.46153846154	93.83
1972.48076923077	86.65
1972.5	89.35
1972.51923076923	77.97
1972.53846153846	86.06
1972.55769230769	83.34
1972.57692307692	87.35
1972.59615384615	90.58
1972.61538461538	84.72
1972.63461538462	88.32
1972.65384615385	82.62
1972.67307692308	92.52
1972.69230769231	86.73
1972.71153846154	99.54
1972.73076923077	95.5
1972.75	92.34
1972.76923076923	97.49
1972.78846153846	97.9
1972.80769230769	97.54
1972.82692307692	103.78
1972.84615384615	110.17
1972.86538461538	116.04
1972.88461538462	132.04
1972.90384615385	126.95
1972.92307692308	121.11
1972.94230769231	119.3
1972.96153846154	118.2
1972.98076923077	102.36
1973	98.44
1973.01923076923	97.87
1973.03846153846	92.98
1973.05769230769	96.16
1973.07692307692	86.83
1973.09615384615	91.09
1973.11538461538	92.5
1973.13461538462	90.64
1973.15384615385	80.69
1973.17307692308	99.91
1973.19230769231	89.09
1973.21153846154	94.25
1973.23076923077	93.33
1973.25	84.08
1973.26923076923	86.37
1973.28846153846	86.61
1973.30769230769	82.47
1973.32692307692	82.73
1973.34615384615	98.29
1973.36538461538	87.02
1973.38461538462	91.13
1973.40384615385	80.23
1973.42307692308	81.36
1973.44230769231	82.8
1973.46153846154	87.24
1973.48076923077	79.37
1973.5	86.83
1973.51923076923	82
1973.53846153846	77.96
1973.55769230769	79.69
1973.57692307692	87.32
1973.59615384615	85.33
1973.61538461538	92.02
1973.63461538462	84.03
1973.65384615385	83.45
1973.67307692308	82.35
1973.69230769231	89.17
1973.71153846154	82.24
1973.73076923077	93.35
1973.75	89.16
1973.76923076923	95.13
1973.78846153846	89.1
1973.80769230769	100.32
1973.82692307692	95.61
1973.84615384615	99.61
1973.86538461538	105.82
1973.88461538462	104.2
1973.90384615385	95.45
1973.92307692308	90.48
1973.94230769231	93.58
1973.96153846154	91.71
1973.98076923077	95.29
1974	94.69
1974.01923076923	102.5
1974.03846153846	98.58
1974.05769230769	107.12
1974.07692307692	99.29
1974.09615384615	96.85
1974.11538461538	89.02
1974.13461538462	96.27
1974.15384615385	97.55
1974.17307692308	85.16
1974.19230769231	94.77
1974.21153846154	85.45
1974.23076923077	97.46
1974.25	83.31
1974.26923076923	91.41
1974.28846153846	88.84
1974.30769230769	86.44
1974.32692307692	82.08
1974.34615384615	83.63
1974.36538461538	95.22
1974.38461538462	80.28
1974.40384615385	85.59
1974.42307692308	84.68
1974.44230769231	81.53
1974.46153846154	89.2
1974.48076923077	74.51
1974.5	81.85
1974.51923076923	81.97
1974.53846153846	85.01
1974.55769230769	86.98
1974.57692307692	81.67
1974.59615384615	91.11
1974.61538461538	83.38
1974.63461538462	86.18
1974.65384615385	89.93
1974.67307692308	91.82
1974.69230769231	92.27
1974.71153846154	89.29
1974.73076923077	85.41
1974.75	96.78
1974.76923076923	83.6
1974.78846153846	98.63
1974.80769230769	90.86
1974.82692307692	94.36
1974.84615384615	97.52
1974.86538461538	108.68
1974.88461538462	107.23
1974.90384615385	107.08
1974.92307692308	113.39
1974.94230769231	105.51
1974.96153846154	111.9
1974.98076923077	110.44
1975	95.42
1975.01923076923	97.78
1975.03846153846	90.38
1975.05769230769	86.89
1975.07692307692	91.59
1975.09615384615	85.51
1975.11538461538	88.16
1975.13461538462	87.03
1975.15384615385	88.61
1975.17307692308	96.96
1975.19230769231	80.03
1975.21153846154	80.53
1975.23076923077	76.46
1975.25	78.85
1975.26923076923	87.03
1975.28846153846	82.27
1975.30769230769	78.92
1975.32692307692	72.75
1975.34615384615	77.75
1975.36538461538	83.79
1975.38461538462	82.13
1975.40384615385	76.42
1975.42307692308	74.58
1975.44230769231	79.61
1975.46153846154	76.52
1975.48076923077	79.27
1975.5	74.7
1975.51923076923	75.49
1975.53846153846	82.82
1975.55769230769	80.29
1975.57692307692	80.05
1975.59615384615	78.64
1975.61538461538	79.4
1975.63461538462	71.02
1975.65384615385	73.55
1975.67307692308	79.6
1975.69230769231	85.08
1975.71153846154	90.14
1975.73076923077	82.26
1975.75	86.75
1975.76923076923	90.11
1975.78846153846	94.86
1975.80769230769	89.68
1975.82692307692	90.16
1975.84615384615	85.73
1975.86538461538	96.82
1975.88461538462	100.37
1975.90384615385	93.43
1975.92307692308	94.12
1975.94230769231	89.26
1975.96153846154	91.81
1975.98076923077	97.4
1976	102.71
1976.01923076923	101.94
1976.03846153846	97.4
1976.05769230769	96.12
1976.07692307692	105.45
1976.09615384615	94.34
1976.11538461538	92.51
1976.13461538462	88.47
1976.15384615385	85.47
1976.17307692308	85.7
1976.19230769231	84.48
1976.21153846154	85.63
1976.23076923077	79.67
1976.25	80.78
1976.26923076923	74.58
1976.28846153846	76.32
1976.30769230769	80.37
1976.32692307692	83.3
1976.34615384615	82.98
1976.36538461538	91.34
1976.38461538462	78.57
1976.40384615385	76.68
1976.42307692308	76.47
1976.44230769231	73.66
1976.46153846154	78.61
1976.48076923077	83.4
1976.5	71.96
1976.51923076923	77.17
1976.53846153846	72.38
1976.55769230769	79.52
1976.57692307692	72.05
1976.59615384615	75.86
1976.61538461538	74.32
1976.63461538462	77.7
1976.65384615385	82.99
1976.67307692308	77.79
1976.69230769231	77.42
1976.71153846154	85.55
1976.73076923077	85.33
1976.75	82.16
1976.76923076923	83.74
1976.78846153846	84.4
1976.80769230769	90.32
1976.82692307692	82.74
1976.84615384615	91.5
1976.86538461538	96.23
1976.88461538462	92.9
1976.90384615385	92.3
1976.92307692308	91.76
1976.94230769231	92.34
1976.96153846154	78.91
1976.98076923077	88.06
1977	81.91
1977.01923076923	79.68
1977.03846153846	83.2
1977.05769230769	84.05
1977.07692307692	85.8
1977.09615384615	84.39
1977.11538461538	91.74
1977.13461538462	90.65
1977.15384615385	89.67
1977.17307692308	86.24
1977.19230769231	91.46
1977.21153846154	83.3
1977.23076923077	83.05
1977.25	74.14
1977.26923076923	90.12
1977.28846153846	83.84
1977.30769230769	79.94
1977.32692307692	74.65
1977.34615384615	77.89
1977.36538461538	78.06
1977.38461538462	74.96
1977.40384615385	77.9
1977.42307692308	73.65
1977.44230769231	79.32
1977.46153846154	82.91
1977.48076923077	79.48
1977.5	73.21
1977.51923076923	76.46
1977.53846153846	73.76
1977.55769230769	68.11
1977.57692307692	76.53
1977.59615384615	68.46
1977.61538461538	72.84
1977.63461538462	79.92
1977.65384615385	73.26
1977.67307692308	79.55
1977.69230769231	77.02
1977.71153846154	78.39
1977.73076923077	81.86
1977.75	88.2
1977.76923076923	75.69
1977.78846153846	88.85
1977.80769230769	82.52
1977.82692307692	87.44
1977.84615384615	82.91
1977.86538461538	92.84
1977.88461538462	91.85
1977.90384615385	89.82
1977.92307692308	96.84
1977.94230769231	99.56
1977.96153846154	105.1
1977.98076923077	95.7
1978	93.46
1978.01923076923	99.27
1978.03846153846	90.39
1978.05769230769	85.85
1978.07692307692	86.69
1978.09615384615	92.94
1978.11538461538	86.63
1978.13461538462	89.78
1978.15384615385	83.22
1978.17307692308	86.04
1978.19230769231	81.53
1978.21153846154	77.46
1978.23076923077	76.63
1978.25	82.09
1978.26923076923	81.22
1978.28846153846	70.96
1978.30769230769	80.17
1978.32692307692	78.48
1978.34615384615	76.8
1978.36538461538	77.63
1978.38461538462	74.31
1978.40384615385	76.3
1978.42307692308	85.97
1978.44230769231	73.07
1978.46153846154	76.29
1978.48076923077	75.21
1978.5	79.18
1978.51923076923	78.25
1978.53846153846	77.24
1978.55769230769	81.55
1978.57692307692	75.46
1978.59615384615	76.86
1978.61538461538	88.43
1978.63461538462	92.93
1978.65384615385	77.65
1978.67307692308	78.74
1978.69230769231	73.63
1978.71153846154	82.11
1978.73076923077	80.81
1978.75	84.34
1978.76923076923	83.48
1978.78846153846	76.4
1978.80769230769	92.77
1978.82692307692	88.09
1978.84615384615	96.2
1978.86538461538	100.28
1978.88461538462	107.58
1978.90384615385	93.73
1978.92307692308	87.33
1978.94230769231	88.11
1978.96153846154	88.07
1978.98076923077	100.81
1979	95.52
1979.01923076923	91.14
1979.03846153846	85.67
1979.05769230769	88.24
1979.07692307692	88.61
1979.09615384615	85.64
1979.11538461538	87.29
1979.13461538462	83.92
