"year"	"particulates"
1970	72.72
1970.01923076923	49.6
1970.03846153846	55.68
1970.05769230769	55.16
1970.07692307692	66.02
1970.09615384615	44.01
1970.11538461538	47.83
1970.13461538462	43.6
1970.15384615385	24.99
1970.17307692308	40.41
1970.19230769231	51.93
1970.21153846154	32.26
1970.23076923077	73.65
1970.25	30.15
1970.26923076923	41.1
1970.28846153846	41.53
1970.30769230769	29.46
1970.32692307692	51.13
1970.34615384615	41.37
1970.36538461538	59.49
1970.38461538462	48.25
1970.40384615385	51.73
1970.42307692308	44.21
1970.44230769231	59.59
1970.46153846154	60.82
1970.48076923077	55.01
1970.5	50.59
1970.51923076923	55.05
1970.53846153846	48
1970.55769230769	55.37
1970.57692307692	64.44
1970.59615384615	75
1970.61538461538	61.46
1970.63461538462	50.04
1970.65384615385	49.9
1970.67307692308	51.14
1970.69230769231	77.88
1970.71153846154	46.71
1970.73076923077	73.86
1970.75	76.87
1970.76923076923	39.85
1970.78846153846	71.52
1970.80769230769	63.87
1970.82692307692	48.81
1970.84615384615	68.82
1970.86538461538	64.39
1970.88461538462	81.76
1970.90384615385	73.55
1970.92307692308	67.99
1970.94230769231	75.37
1970.96153846154	65.23
1970.98076923077	69.91
1971	44.34
1971.01923076923	40.8
1971.03846153846	55.09
1971.05769230769	38.44
1971.07692307692	53.54
1971.09615384615	42.46
1971.11538461538	53.22
1971.13461538462	44.41
1971.15384615385	31.29
1971.17307692308	31.1
1971.19230769231	35.92
1971.21153846154	37.73
1971.23076923077	35
1971.25	36.25
1971.26923076923	22.75
1971.28846153846	32.26
1971.30769230769	34.77
1971.32692307692	52.73
1971.34615384615	36.59
1971.36538461538	30.04
1971.38461538462	49.91
1971.40384615385	42.6
1971.42307692308	35.89
1971.44230769231	41.76
1971.46153846154	47.03
1971.48076923077	36.62
1971.5	31.4
1971.51923076923	46.76
1971.53846153846	30.6
1971.55769230769	60.58
1971.57692307692	33.3
1971.59615384615	50.08
1971.61538461538	46.99
1971.63461538462	73.07
1971.65384615385	50.28
1971.67307692308	71.6
1971.69230769231	50.09
1971.71153846154	82.85
1971.73076923077	58.36
1971.75	62.63
1971.76923076923	71.27
1971.78846153846	50.85
1971.80769230769	65.13
1971.82692307692	74.74
1971.84615384615	39.59
1971.86538461538	69.67
1971.88461538462	84.23
1971.90384615385	84.96
1971.92307692308	67.68
1971.94230769231	58.62
1971.96153846154	57.02
1971.98076923077	64.58
1972	63.25
1972.01923076923	56.92
1972.03846153846	46.59
1972.05769230769	49.2
1972.07692307692	48.55
1972.09615384615	39.16
1972.11538461538	43.59
1972.13461538462	43.26
1972.15384615385	35.86
1972.17307692308	40.4
1972.19230769231	44.84
1972.21153846154	28.72
1972.23076923077	44.4
1972.25	24.24
1972.26923076923	37.13
1972.28846153846	38.01
1972.30769230769	32.22
1972.32692307692	32.86
1972.34615384615	25.83
1972.36538461538	37.95
1972.38461538462	36.93
1972.40384615385	34.03
1972.42307692308	27.68
1972.44230769231	52.62
1972.46153846154	36.51
1972.48076923077	33.53
1972.5	39.94
1972.51923076923	36.85
1972.53846153846	38.93
1972.55769230769	24.55
1972.57692307692	48.89
1972.59615384615	48.69
1972.61538461538	42.71
1972.63461538462	42.34
1972.65384615385	50.98
1972.67307692308	56.67
1972.69230769231	61.51
1972.71153846154	73.11
1972.73076923077	57.48
1972.75	56.63
1972.76923076923	67.47
1972.78846153846	71.64
1972.80769230769	54.52
1972.82692307692	74.98
1972.84615384615	74.95
1972.86538461538	57.3
1972.88461538462	71.59
1972.90384615385	69.8
1972.92307692308	47.92
1972.94230769231	63.78
1972.96153846154	59.76
1972.98076923077	40.04
1973	47.44
1973.01923076923	42.77
1973.03846153846	41.51
1973.05769230769	31.86
1973.07692307692	41.68
1973.09615384615	29.07
1973.11538461538	30.83
1973.13461538462	44.48
1973.15384615385	38.35
1973.17307692308	30.98
1973.19230769231	37.46
1973.21153846154	39.57
1973.23076923077	40.28
