"year"	"temperataure"
1970	72.38
1970.01923076923	67.19
1970.03846153846	62.94
1970.05769230769	72.49
1970.07692307692	74.25
1970.09615384615	67.88
1970.11538461538	74.2
1970.13461538462	74.88
1970.15384615385	64.17
1970.17307692308	67.09
1970.19230769231	78.29
1970.21153846154	68.07
1970.23076923077	86.7
1970.25	69.43
1970.26923076923	75.22
1970.28846153846	77.29
1970.30769230769	69.96
1970.32692307692	79.35
1970.34615384615	82.94
1970.36538461538	89.79
1970.38461538462	80.19
1970.40384615385	87.58
1970.42307692308	81.76
1970.44230769231	86.79
1970.46153846154	87.46
1970.48076923077	88.21
1970.5	83.4
1970.51923076923	86.1
1970.53846153846	82.16
1970.55769230769	81.31
1970.57692307692	78.99
1970.59615384615	92.56
1970.61538461538	84.5
1970.63461538462	76.44
1970.65384615385	73.97
1970.67307692308	69.63
1970.69230769231	81.05
1970.71153846154	69.57
1970.73076923077	78.05
1970.75	70.61
1970.76923076923	60.95
1970.78846153846	67.74
1970.80769230769	68.5
1970.82692307692	54.84
1970.84615384615	60.58
1970.86538461538	62.14
1970.88461538462	51.26
1970.90384615385	72.55
1970.92307692308	64.42
1970.94230769231	78.25
1970.96153846154	59.17
1970.98076923077	80.89
1971	58.63
1971.01923076923	62.5
1971.03846153846	67.52
1971.05769230769	63.56
1971.07692307692	74.87
1971.09615384615	64.98
1971.11538461538	82.7
1971.13461538462	72.63
1971.15384615385	65.36
1971.17307692308	63.33
1971.19230769231	66.1
1971.21153846154	64.85
1971.23076923077	76.37
1971.25	75.27
1971.26923076923	65.15
1971.28846153846	69.62
1971.30769230769	72.81
1971.32692307692	85.57
1971.34615384615	78.58
1971.36538461538	77.32
1971.38461538462	87.27
1971.40384615385	86.29
1971.42307692308	83.55
1971.44230769231	88.57
1971.46153846154	95.34
1971.48076923077	88.18
1971.5	82.71
1971.51923076923	89.8
1971.53846153846	81.63
1971.55769230769	98.95
1971.57692307692	82.58
1971.59615384615	79.74
1971.61538461538	77.31
1971.63461538462	99.88
1971.65384615385	69.19
1971.67307692308	76.29
1971.69230769231	64.28
1971.71153846154	78.61
1971.73076923077	65.87
1971.75	68.18
1971.76923076923	65.98
1971.78846153846	63.95
1971.80769230769	57.65
1971.82692307692	64.27
1971.84615384615	55.18
1971.86538461538	63.52
1971.88461538462	63.95
1971.90384615385	69.91
1971.92307692308	58.9
1971.94230769231	65.25
1971.96153846154	62.79
1971.98076923077	71.43
1972	68.72
1972.01923076923	66.96
1972.03846153846	75.68
1972.05769230769	68.57
1972.07692307692	68.62
1972.09615384615	69.61
1972.11538461538	71.89
1972.13461538462	73.66
1972.15384615385	70.67
1972.17307692308	69.9
1972.19230769231	80.23
1972.21153846154	67.16
1972.23076923077	81.71
1972.25	66.2
1972.26923076923	80.79
1972.28846153846	84.12
1972.30769230769	75.52
1972.32692307692	81.55
1972.34615384615	75.88
1972.36538461538	82.45
1972.38461538462	84.86
1972.40384615385	84.93
1972.42307692308	79.73
1972.44230769231	97.2
1972.46153846154	85.97
1972.48076923077	82
1972.5	81.95
1972.51923076923	83.56
1972.53846153846	86.14
1972.55769230769	77.63
1972.57692307692	77.19
1972.59615384615	82.16
1972.61538461538	78.57
1972.63461538462	78.92
1972.65384615385	74.47
1972.67307692308	71.01
1972.69230769231	72.2
1972.71153846154	72.59
1972.73076923077	65.8
1972.75	64.16
1972.76923076923	73.18
1972.78846153846	74.71
1972.80769230769	50.91
1972.82692307692	66.46
1972.84615384615	75.48
1972.86538461538	67.78
1972.88461538462	56.68
1972.90384615385	70.08
1972.92307692308	58.58
1972.94230769231	67.7
1972.96153846154	63.88
1972.98076923077	59.07
1973	68.55
1973.01923076923	68.35
1973.03846153846	65.6
1973.05769230769	58.75
1973.07692307692	65.67
1973.09615384615	59.85
1973.11538461538	63.95
1973.13461538462	77.14
1973.15384615385	66.59
1973.17307692308	72.86
1973.19230769231	67.87
1973.21153846154	73.61
1973.23076923077	71.45
1973.25	69.97
1973.26923076923	78.49
1973.28846153846	72.52
1973.30769230769	84.84
1973.32692307692	72.97
1973.34615384615	96.23
1973.36538461538	81.68
1973.38461538462	83.17
1973.40384615385	79.42
1973.42307692308	78.64
1973.44230769231	86.44
1973.46153846154	82.08
1973.48076923077	80.73
1973.5	87.68
1973.51923076923	81.44
1973.53846153846	77.34
1973.55769230769	75.18
1973.57692307692	75.85
1973.59615384615	74.24
1973.61538461538	87.78
1973.63461538462	69.09
1973.65384615385	82.08
1973.67307692308	79.84
1973.69230769231	82.8
1973.71153846154	73.56
1973.73076923077	73.74
1973.75	63.94
1973.76923076923	63.08
1973.78846153846	64.79
1973.80769230769	75.45
1973.82692307692	67.12
1973.84615384615	69.12
1973.86538461538	61.56
1973.88461538462	51.22
1973.90384615385	64.28
1973.92307692308	65.41
1973.94230769231	65.45
1973.96153846154	65.68
1973.98076923077	72.25
1974	63.18
1974.01923076923	71.55
1974.03846153846	67.3
1974.05769230769	59.64
1974.07692307692	73.43
1974.09615384615	61.91
1974.11538461538	64.85
1974.13461538462	74.43
1974.15384615385	74.39
1974.17307692308	70.8
1974.19230769231	72.49
1974.21153846154	70.06
1974.23076923077	70.25
1974.25	66.51
1974.26923076923	83.11
1974.28846153846	71.29
1974.30769230769	75.49
1974.32692307692	80.98
1974.34615384615	83.52
1974.36538461538	88.27
1974.38461538462	77.88
1974.40384615385	82.23
1974.42307692308	90.75
1974.44230769231	86.58
1974.46153846154	84.8
1974.48076923077	80.32
1974.5	80.23
1974.51923076923	82.88
1974.53846153846	85
1974.55769230769	88.96
1974.57692307692	78.11
1974.59615384615	85.06
1974.61538461538	76.39
1974.63461538462	74.23
1974.65384615385	76.42
1974.67307692308	83.68
1974.69230769231	67.62
1974.71153846154	64.36
1974.73076923077	81.7
1974.75	72.67
1974.76923076923	73.59
1974.78846153846	69.09
1974.80769230769	66.75
1974.82692307692	70.03
1974.84615384615	69.53
1974.86538461538	55.33
1974.88461538462	63.17
1974.90384615385	66
1974.92307692308	80.86
1974.94230769231	69.57
1974.96153846154	54.85
1974.98076923077	64.21
1975	62.12
1975.01923076923	66.21
1975.03846153846	69.77
1975.05769230769	60.84
1975.07692307692	59.44
1975.09615384615	65.65
1975.11538461538	64.09
1975.13461538462	60.63
1975.15384615385	60.19
1975.17307692308	63.92
1975.19230769231	66.83
1975.21153846154	69.48
1975.23076923077	74.17
1975.25	69.29
1975.26923076923	70.86
1975.28846153846	75.34
1975.30769230769	72.66
1975.32692307692	74.91
1975.34615384615	70.17
1975.36538461538	81.41
1975.38461538462	82.03
1975.40384615385	85.76
1975.42307692308	78.54
1975.44230769231	84.44
1975.46153846154	82.87
1975.48076923077	86.52
1975.5	77.5
1975.51923076923	81.72
1975.53846153846	82.61
1975.55769230769	83.09
1975.57692307692	75.74
1975.59615384615	92.27
1975.61538461538	86.41
1975.63461538462	83.03
1975.65384615385	73.16
1975.67307692308	78.82
1975.69230769231	70.51
1975.71153846154	76.06
1975.73076923077	71.35
1975.75	76.99
1975.76923076923	72.96
1975.78846153846	66.78
1975.80769230769	74.69
1975.82692307692	64.15
1975.84615384615	67.28
1975.86538461538	70.73
1975.88461538462	63.84
1975.90384615385	68.01
1975.92307692308	84.19
1975.94230769231	71.08
1975.96153846154	81.45
1975.98076923077	56.52
1976	66.95
1976.01923076923	68.92
1976.03846153846	68.9
1976.05769230769	58.7
1976.07692307692	68.56
1976.09615384615	77.03
1976.11538461538	74.53
1976.13461538462	65.47
1976.15384615385	63.42
1976.17307692308	65.54
1976.19230769231	72.34
1976.21153846154	75.18
1976.23076923077	69.01
1976.25	81.77
1976.26923076923	72.28
1976.28846153846	71.28
1976.30769230769	75.07
1976.32692307692	75.16
1976.34615384615	81.58
1976.36538461538	97.05
1976.38461538462	82.14
1976.40384615385	86.48
1976.42307692308	76.96
1976.44230769231	82.26
1976.46153846154	79.43
1976.48076923077	81.49
1976.5	79.63
1976.51923076923	79.22
1976.53846153846	89.34
1976.55769230769	88.24
1976.57692307692	80.14
1976.59615384615	73.39
1976.61538461538	76.39
1976.63461538462	76.47
1976.65384615385	91.3
1976.67307692308	77.99
1976.69230769231	76.1
1976.71153846154	78.61
1976.73076923077	92.59
1976.75	68.47
1976.76923076923	81.56
1976.78846153846	67.83
1976.80769230769	76.99
1976.82692307692	73.07
1976.84615384615	74.46
1976.86538461538	70.52
1976.88461538462	61.91
1976.90384615385	57.1
1976.92307692308	71.27
1976.94230769231	71.62
1976.96153846154	67.98
1976.98076923077	71.32
1977	79.33
1977.01923076923	77.07
1977.03846153846	64.14
1977.05769230769	70.01
1977.07692307692	67.66
1977.09615384615	64.96
1977.11538461538	64.32
1977.13461538462	64.39
1977.15384615385	72.46
1977.17307692308	69.26
1977.19230769231	79.96
1977.21153846154	72.32
1977.23076923077	65.33
1977.25	63.72
1977.26923076923	72.99
1977.28846153846	70.59
1977.30769230769	82.12
1977.32692307692	71.94
1977.34615384615	77.99
1977.36538461538	79.02
1977.38461538462	83.07
1977.40384615385	81.49
1977.42307692308	82.91
1977.44230769231	87.11
1977.46153846154	92.02
1977.48076923077	85.54
1977.5	84.15
1977.51923076923	82.93
1977.53846153846	81.01
1977.55769230769	82.98
1977.57692307692	86.47
1977.59615384615	73.07
1977.61538461538	78.81
1977.63461538462	78.61
1977.65384615385	83.8
1977.67307692308	80.63
1977.69230769231	75.79
1977.71153846154	76.87
1977.73076923077	75.78
1977.75	78.31
1977.76923076923	70.57
1977.78846153846	83.35
1977.80769230769	79.17
1977.82692307692	69.94
1977.84615384615	66.75
1977.86538461538	66.62
1977.88461538462	62.94
1977.90384615385	64.65
1977.92307692308	63.45
1977.94230769231	63.91
1977.96153846154	69.26
1977.98076923077	68.55
1978	59.6
1978.01923076923	68.71
1978.03846153846	68.35
1978.05769230769	63.91
1978.07692307692	64.59
1978.09615384615	78.16
1978.11538461538	71.89
1978.13461538462	68.35
1978.15384615385	65.57
1978.17307692308	65.92
1978.19230769231	71.91
1978.21153846154	68.16
1978.23076923077	73.9
1978.25	83.73
1978.26923076923	79.38
1978.28846153846	78.17
1978.30769230769	77.3
1978.32692307692	83.43
1978.34615384615	83.93
1978.36538461538	87.74
1978.38461538462	77.66
1978.40384615385	80.67
1978.42307692308	91.38
1978.44230769231	83.42
1978.46153846154	86.22
1978.48076923077	86.73
1978.5	83.13
1978.51923076923	82.4
1978.53846153846	81.07
1978.55769230769	86.72
1978.57692307692	79.65
1978.59615384615	73.96
1978.61538461538	97.15
1978.63461538462	91.51
1978.65384615385	80.58
1978.67307692308	86.14
1978.69230769231	77.45
1978.71153846154	74.57
1978.73076923077	77.18
1978.75	65.59
1978.76923076923	67.1
1978.78846153846	62.08
1978.80769230769	67.25
1978.82692307692	61.28
1978.84615384615	68.06
1978.86538461538	61.26
1978.88461538462	62.92
1978.90384615385	64.12
1978.92307692308	62.73
1978.94230769231	60.33
1978.96153846154	58.26
1978.98076923077	56.32
1979	70.43
1979.01923076923	61.93
1979.03846153846	62.81
1979.05769230769	66.1
1979.07692307692	76.3
1979.09615384615	58.65
1979.11538461538	64.99
