"year"	"recruitment"
1950	68.63
1950.08333333333	68.63
1950.16666666667	68.63
1950.25	68.63
1950.33333333333	68.63
1950.41666666667	68.63
1950.5	59.16
1950.58333333333	48.7
1950.66666666667	47.54
1950.75	50.91
1950.83333333333	44.7
1950.91666666667	42.85
1951	39.62
1951.08333333333	44.45
1951.16666666667	38.98
1951.25	42.62
1951.33333333333	48.27
1951.41666666667	59.39
1951.5	51.66
1951.58333333333	38.55
1951.66666666667	60.33
1951.75	72.27
1951.83333333333	68.62
1951.91666666667	69.63
1952	72.2
1952.08333333333	67.87
1952.16666666667	64.91001
1952.25	53.85
1952.33333333333	37.96
1952.41666666667	23.23
1952.5	12.68
1952.58333333333	9.84
1952.66666666667	7.82
1952.75	11.78
1952.83333333333	10.22
1952.91666666667	12.19
1953	18.6
1953.08333333333	26.97
1953.16666666667	22.52
1953.25	19.18
1953.33333333333	17.14
1953.41666666667	18.61
1953.5	20.02
1953.58333333333	22.65
1953.66666666667	38.99
1953.75	76.55
1953.83333333333	87.99
1953.91666666667	99.8
1954	96.69
1954.08333333333	87.45
1954.16666666667	88.57
1954.25	97.43
1954.33333333333	99.99
1954.41666666667	94.88
1954.5	86.99
1954.58333333333	79.73001
1954.66666666667	92.35
1954.75	91.29
1954.83333333333	94.31
1954.91666666667	84.95
1955	82.97
1955.08333333333	92.98001
1955.16666666667	81.06
1955.25	62.37
1955.33333333333	52.99
1955.41666666667	39.53
1955.5	42.9
1955.58333333333	33.76
1955.66666666667	40.97
1955.75	60.5
1955.83333333333	66.61
1955.91666666667	80.38
1956	95.86
1956.08333333333	97.74
1956.16666666667	80.24
1956.25	73.44
1956.33333333333	65.67
1956.41666666667	47.81
1956.5	33.51
1956.58333333333	34.22
1956.66666666667	32.95
1956.75	32.55
1956.83333333333	46.92
1956.91666666667	44.64
1957	53.02
1957.08333333333	41.98
1957.16666666667	30.43
1957.25	24.43
1957.33333333333	18.05
1957.41666666667	20.98
1957.5	12.37
1957.58333333333	12.03
1957.66666666667	12.41
1957.75	15.89
1957.83333333333	20.46
1957.91666666667	26.95
1958	30.29
1958.08333333333	26.21
1958.16666666667	23.34
1958.25	25.55
1958.33333333333	25.4
1958.41666666667	24.16
1958.5	23.34
1958.58333333333	24.38
1958.66666666667	27.2
1958.75	29.18
1958.83333333333	43.3
1958.91666666667	53.92
1959	59.76
1959.08333333333	64.52
1959.16666666667	65.84
1959.25	70.19
1959.33333333333	75.27
1959.41666666667	77.63
1959.5	76.96
1959.58333333333	77.7
1959.66666666667	85.13
1959.75	99.33999
1959.83333333333	97.7
1959.91666666667	97.01999
1960	98.83
1960.08333333333	99.8
1960.16666666667	96.74
1960.25	93.54
1960.33333333333	82.08
1960.41666666667	71.51
1960.5	49.61
1960.58333333333	41.76
1960.66666666667	59.78
1960.75	90.97
1960.83333333333	85.26
1960.91666666667	100
1961	98.5
1961.08333333333	98.7
1961.16666666667	93.1
1961.25	79.37
1961.33333333333	81.97
1961.41666666667	55.94
1961.5	50.39
1961.58333333333	48.64
1961.66666666667	40.12
1961.75	63.04
1961.83333333333	60.51
1961.91666666667	78.72
1962	71.37
1962.08333333333	76.43
1962.16666666667	71.25
1962.25	56.46
1962.33333333333	41.84
1962.41666666667	41.24
1962.5	35.28
1962.58333333333	39.86
1962.66666666667	45.13
1962.75	53.8
1962.83333333333	77.54
1962.91666666667	80.02
1963	81.28
1963.08333333333	73.58
1963.16666666667	66.06
1963.25	59.46
1963.33333333333	59.49
1963.41666666667	51.9
1963.5	35.21
1963.58333333333	39.65
1963.66666666667	31.9
1963.75	61.56
1963.83333333333	88.25
1963.91666666667	96.46
1964	83.94
1964.08333333333	89.05
1964.16666666667	92.97
1964.25	98.29
1964.33333333333	99.79
1964.41666666667	94.01
1964.5	87.06
1964.58333333333	80.46
1964.66666666667	74.86
1964.75	67.18
1964.83333333333	73.85
1964.91666666667	80.15
1965	69.45
1965.08333333333	50.39
1965.16666666667	31.68
1965.25	31.25
1965.33333333333	23.11
1965.41666666667	11.32
1965.5	8.96
1965.58333333333	6.03
1965.66666666667	11.7
1965.75	34.63
1965.83333333333	58.31
1965.91666666667	58.66
1966	72.62
1966.08333333333	85.76
1966.16666666667	94.29
1966.25	92.76999
1966.33333333333	93.18
1966.41666666667	89.32
1966.5	81.63
1966.58333333333	71.44
1966.66666666667	66.42
1966.75	80.02
1966.83333333333	76.52
1966.91666666667	77.51
1967	67.73001
1967.08333333333	50.52
1967.16666666667	48.97
1967.25	50.64
1967.33333333333	38.73
1967.41666666667	30.79
1967.5	23.75
1967.58333333333	26.28
1967.66666666667	36.67
1967.75	68.91001
1967.83333333333	97.39
1967.91666666667	96.1
1968	90.3
1968.08333333333	84.92
1968.16666666667	91.41001
1968.25	92.54
1968.33333333333	98.04
1968.41666666667	99.96
1968.5	88.83
1968.58333333333	83.07
1968.66666666667	86.32
1968.75	99.83
1968.83333333333	96.62
1968.91666666667	99.94
1969	96.89
1969.08333333333	85.12
1969.16666666667	77.97
1969.25	67.38
1969.33333333333	44.5
1969.41666666667	26.72
1969.5	13.25
1969.58333333333	10.64
1969.66666666667	23.83
1969.75	29.18
1969.83333333333	26.91
1969.91666666667	20.09
1970	22.33
1970.08333333333	22.07
1970.16666666667	26.2
1970.25	29.81
1970.33333333333	30.1
1970.41666666667	24.25
1970.5	25.3
1970.58333333333	23.5
1970.66666666667	35.62
1970.75	52.11
1970.83333333333	56.79
1970.91666666667	69.09
1971	86.64
1971.08333333333	99.28
1971.16666666667	98.48001
1971.25	98.45
1971.33333333333	94.76999
1971.41666666667	93.58
1971.5	78.07
1971.58333333333	66.88
1971.66666666667	77.04
1971.75	88.72
1971.83333333333	94.88
1971.91666666667	99.67
1972	100
1972.08333333333	99.9
1972.16666666667	96.91001
1972.25	66.88
1972.33333333333	52.39
1972.41666666667	40.61
1972.5	30.65
1972.58333333333	32.04
1972.66666666667	45.28
1972.75	35
1972.83333333333	35.62
1972.91666666667	36.98
1973	39.89
1973.08333333333	36.88
1973.16666666667	30.85
1973.25	19.33
1973.33333333333	13.26
1973.41666666667	11.12
1973.5	9.140001
1973.58333333333	8.21
1973.66666666667	10.76
1973.75	10.43
1973.83333333333	13.75
1973.91666666667	37.91
1974	41.85
1974.08333333333	44.67
1974.16666666667	50.57
1974.25	50.34
1974.33333333333	49.54
1974.41666666667	56.93
1974.5	60.16
1974.58333333333	57.47
1974.66666666667	71.68
1974.75	97.28
1974.83333333333	62.09
1974.91666666667	59.97
1975	51.18
1975.08333333333	51.48
1975.16666666667	66.08
1975.25	86.39
1975.33333333333	93.58
1975.41666666667	99.9
1975.5	93.86
1975.58333333333	82.82
1975.66666666667	84.83999
1975.75	89.51
1975.83333333333	86.89
1975.91666666667	87.15
1976	78.47
1976.08333333333	55.93
1976.16666666667	41.27
1976.25	19.66
1976.33333333333	9.439999
1976.41666666667	4.66
1976.5	2.36
1976.58333333333	1.72
1976.66666666667	3.32
1976.75	12.13
1976.83333333333	16.81
1976.91666666667	24.3
1977	52.42
1977.08333333333	58.05
1977.16666666667	59.42
1977.25	57.52
1977.33333333333	60.13
1977.41666666667	64.68
1977.5	74.94
1977.58333333333	69.73001
1977.66666666667	77.11
1977.75	97.93
1977.83333333333	98.74
1977.91666666667	98.88
1978	90.41001
1978.08333333333	77.86
1978.16666666667	61.48
1978.25	47.66
1978.33333333333	30.74
1978.41666666667	20.11
1978.5	12.08
1978.58333333333	8.97
1978.66666666667	20.03
1978.75	71.54
1978.83333333333	97.51999
1978.91666666667	95.14
1979	92.22
1979.08333333333	80.09
1979.16666666667	74.59
1979.25	83.66001
1979.33333333333	87.36
1979.41666666667	96.63
1979.5	93.36
1979.58333333333	94.7
1979.66666666667	99.66001
1979.75	91.6
1979.83333333333	89.98001
1979.91666666667	99.39
1980	99.46
1980.08333333333	99.37
1980.16666666667	99.51999
1980.25	96.64
1980.33333333333	89.55
1980.41666666667	68.67
1980.5	65.02
1980.58333333333	61.82
1980.66666666667	76.92
1980.75	80.17
1980.83333333333	77.48001
1980.91666666667	82.34
1981	74.11
1981.08333333333	69.03
1981.16666666667	79.48001
1981.25	78.76
1981.33333333333	67.55
1981.41666666667	59.98
1981.5	44.35
1981.58333333333	41.18
1981.66666666667	71.53
1981.75	95.51999
1981.83333333333	93.48001
1981.91666666667	98.18
1982	70.48001
1982.08333333333	77.63
1982.16666666667	88.11
1982.25	93.15
1982.33333333333	99.01
1982.41666666667	93.31
1982.5	81.21
1982.58333333333	79.63
1982.66666666667	80.67
1982.75	85.63
1982.83333333333	88.66001
1982.91666666667	93.65
1983	95.49
1983.08333333333	98.26999
1983.16666666667	86.19
1983.25	79.69
1983.33333333333	72.26
1983.41666666667	35.06
1983.5	20.98
1983.58333333333	29.67
1983.66666666667	42.09
1983.75	52.96
1983.83333333333	69.45
1983.91666666667	76.86
1984	86.19
1984.08333333333	96
1984.16666666667	96.07
1984.25	86.85
1984.33333333333	76.66001
1984.41666666667	61.47
1984.5	46.26
1984.58333333333	40.15
1984.66666666667	72.59
1984.75	85.17
1984.83333333333	91.74
1984.91666666667	99.22
1985	76.55
1985.08333333333	64.17
1985.16666666667	69.2
1985.25	70.37
1985.33333333333	79.55
1985.41666666667	74.79
1985.5	70.9
1985.58333333333	78.86
1985.66666666667	84.28
1985.75	83.43
1985.83333333333	85.55
1985.91666666667	80.17
1986	90.82
1986.08333333333	99.39
1986.16666666667	99.18
1986.25	89.1
1986.33333333333	82.18
1986.41666666667	77.64
1986.5	55.93
1986.58333333333	49.73
1986.66666666667	70.12
1986.75	79.2
1986.83333333333	87.83
1986.91666666667	88.2
1987	94.83
1987.08333333333	98.66001
1987.16666666667	94.83999
1987.25	83.06
1987.33333333333	61.42
1987.41666666667	47.47
1987.5	31.81
1987.58333333333	22.95
1987.66666666667	17.87
